Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2224584;Ngoro;Ngoro;Janjo,Janjō,Ngoro,Ngorro;P;PPL;CM;Cameroon;;11;;;;2305;;501;Africa/Douala;2018-10-12;Cameroon;4.95,11.38333
2225263;Ndikiniméki;Ndikinimeki;Ndikinemeki,Ndikinimeki,Ndikiniméki;P;PPL;CM;Cameroon;;11;;;;8247;;803;Africa/Douala;2020-06-10;Cameroon;4.76667,10.83333
2228079;Mbalmayo;Mbalmayo;Mbal'majo,Mbalmajo,Mbalmayo,Мбальмайо;P;PPL;CM;Cameroon;;11;;;;80206;;663;Africa/Douala;2012-01-16;Cameroon;3.51667,11.5
2228881;Makary;Makary;Mafate,Mafaté,Mafete,Makari,Makary;P;PPL;CM;Cameroon;;12;;;;7331;;295;Africa/Douala;2016-09-08;Cameroon;12.57535,14.45483
2232997;Dizangué;Dizangue;Dizangue,Dizangué,Dizanque,Dizanqué;P;PPL;CM;Cameroon;;05;;;;19243;;61;Africa/Douala;2018-10-11;Cameroon;3.76667,9.98333
2233805;Bogo;Bogo;Bogo;P;PPL;CM;Cameroon;;12;;;;16952;;343;Africa/Douala;2018-12-04;Cameroon;10.7336,14.60928
2221030;Yagoua;Yagoua;GXX,Jagua,Jágua,Yagoua,Yagua;P;PPL;CM;Cameroon;;12;;;;80235;;336;Africa/Douala;2012-01-16;Cameroon;10.34107,15.23288
2222439;Rey Bouba;Rey Bouba;Rei Buba,Rei-Bouba,Rey Bouba,Reï-Bouba;P;PPL;CM;Cameroon;;13;;;;11454;;235;Africa/Douala;2018-10-12;Cameroon;8.6724,14.1786
2228028;Mbandjok;Mbandjok;Mbandjock,Mbandjok;P;PPL;CM;Cameroon;;11;;;;26947;;548;Africa/Douala;2012-01-16;Cameroon;4.45,11.9
2231506;Foumban;Foumban;FOM,Foumbam,Foumban,Fumban,feng ban,Фумбан,豐班;P;PPL;CM;Cameroon;;08;;;;92673;;1179;Africa/Douala;2014-06-04;Cameroon;5.72662,10.89865
2234339;Bétaré Oya;Betare Oya;Betare,Betare Oya,Betaye-Oya,Bétaré Oya;P;PPL;CM;Cameroon;;04;;;;11866;;768;Africa/Douala;2020-06-10;Cameroon;5.6,14.08333
2221053;Wum;Wum;Wum;P;PPL;CM;Cameroon;;07;;;;68836;;1055;Africa/Douala;2012-01-16;Cameroon;6.38333,10.06667
2221394;Tonga;Tonga;Lagosdorf,Tonga,Tonga's,Tonga’s;P;PPL;CM;Cameroon;;08;;;;16036;;809;Africa/Douala;2018-10-12;Cameroon;4.96667,10.7
2223293;Obala;Obala;Obala;P;PPL;CM;Cameroon;;11;;;;30012;;542;Africa/Douala;2012-01-16;Cameroon;4.16667,11.53333
2223421;Ntui;Ntui;N'Dui,Ntui,Ntwi,N’Dui;P;PPL;CM;Cameroon;;11;;;;6185;;526;Africa/Douala;2012-01-16;Cameroon;4.45,11.63333
2225703;Mvangué;Mvangue;;P;PPL;CM;Cameroon;;14;;;;1908;;697;Africa/Douala;2011-03-06;Cameroon;2.96667,11.51667
