Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
3023777;Coray;Coray;Coray,Kore,ke lai,kore,Коре,コレ,科赖;P;PPL;FR;France;;53;29;292;29041;1704;;226;Europe/Paris;2020-06-10;France;48.06089,-3.83035
3023873;Conques-sur-Orbiel;Conques-sur-Orbiel;Concas,Concas dOrbiel,Concas dOrbièl,Konk sir Orbjel,Konk-sjur-Orb'el',Konk-sjur-Orbel',ao er bi ye he pan kong qu ai,Конк сир Орбјел,Конк-сюр-Орбьель,Конк-сюр-Орбєль,奥尔比耶河畔孔屈埃;P;PPL;FR;France;;76;11;111;11099;2225;;125;Europe/Paris;2016-02-18;France;43.26667,2.41667
3023884;Connantre;Connantre;Connantre;P;PPL;FR;France;;44;51;512;51165;1149;;97;Europe/Paris;2016-02-18;France;48.72657,3.92403
3023919;Confolens;Confolens;Confolens,Confolent,Confolents,Konfolan,konforan,kong fu lang,Конфолан,コンフォラン,孔福朗;P;PPLA3;FR;France;;75;16;163;16106;3104;;142;Europe/Paris;2019-10-09;France;46.01311,0.67195
3023937;Condrieu;Condrieu;Condrieu,Kondrie,Kondrije,kondoryu,Кондрије,Кондріє,コンドリュー;P;PPL;FR;France;;84;69;691;69064;3615;;156;Europe/Paris;2019-06-05;France;45.463,4.76765
3024643;Clermont;Clermont;Clermont,Clermont-en-Beauvaisis;P;PPLA3;FR;France;;32;60;602;60157;11025;;73;Europe/Paris;2019-04-10;France;49.37897,2.41258
3024695;Clécy;Clecy;Clecy,Clécy;P;PPL;FR;France;;28;14;142;14162;1311;;67;Europe/Paris;2016-02-18;France;48.91718,-0.48041
3024937;Cinq-Mars-la-Pile;Cinq-Mars-la-Pile;Cinq-Mars,Cinq-Mars-la-Pile;P;PPL;FR;France;;24;37;371;37077;2877;;48;Europe/Paris;2016-02-18;France;47.34638,0.45873
3024991;Chuzelles;Chuzelles;Chuzelles;P;PPL;FR;France;;84;38;383;38110;2119;;238;Europe/Paris;2019-06-05;France;45.58481,4.87703
3025045;Chomérac;Chomerac;Chaumairac,Chaumeirac,Chomerac,Chomérac,Shomerak,shao mei la ke,Шомерак,绍梅拉克;P;PPL;FR;France;;84;07;072;07066;2696;;198;Europe/Paris;2016-02-18;France;44.70752,4.66164
3025132;Chinon;Chinon;Chinon,Chinon-sur-Vienne,Chinonium,Shinon,shinon,synwn,xi nong,Шинон,שינון,シノン,希农;P;PPLA3;FR;France;;24;37;371;37072;9405;;40;Europe/Paris;2019-04-10;France;47.16701,0.24284
3025635;Cheillé;Cheille;Cheille,Cheillé;P;PPL;FR;France;;24;37;372;37067;1350;;57;Europe/Paris;2019-03-26;France;47.26114,0.40553
3025646;Chef-Boutonne;Chef-Boutonne;Chef-Boutonne,Shef Buton,Shef-Butonn,xie fu bu tuo ne,Шеф Бутон,Шеф-Бутонн,謝夫布托訥;P;PPL;FR;France;;75;79;792;79083;2434;;96;Europe/Paris;2019-09-04;France;46.10922,-0.07005
3026241;Châteauneuf-de-Galaure;Chateauneuf-de-Galaure;Chateauneuf,Chateauneuf-de-Galaure,Châteauneuf,Châteauneuf-de-Galaure,Mivalon-de-Galaure,Shatonef de Galor,Shatonef-de-Galor,sha tuo na de jia luo er,Шатонеф де Галор,Шатонеф-де-Галор,沙托纳德加洛尔;P;PPL;FR;France;;84;26;263;26083;1941;;251;Europe/Paris;2019-06-05;France;45.22977,4.95777
3026276;Châteaugay;Chateaugay;Bel-Air,Chasteugai,Chateaugay,Châteaugay,Shatoge,sha tuo gai,shatoge,Шатоге,シャトゲ,沙托盖;P;PPL;FR;France;;84;63;632;63099;3138;;497;Europe/Paris;2019-04-10;France;45.85117,3.08482
3026400;Chasselay;Chasselay;Chasselay;P;PPL;FR;France;;84;69;692;69049;2746;;236;Europe/Paris;2019-06-05;France;45.8744,4.77237
3026925;Chaniers;Chaniers;Chaniers,Shan'e,Shanije,sha nie er,Шаније,Шанье,Шаньє,沙涅尔;P;PPL;FR;France;;75;17;174;17086;3488;;12;Europe/Paris;2019-11-06;France;45.71822,-0.55772
3027396;Chambœuf;Chamboeuf;Chamboeuf,Chambœuf;P;PPL;FR;France;;84;42;421;42043;1384;;424;Europe/Paris;2020-07-09;France;45.5775,4.32035
3027850;Cernay-lès-Reims;Cernay-les-Reims;Cernay,Cernay-les-Reims,Cernay-lez-Reims,Cernay-lès-Reims;P;PPL;FR;France;;44;51;513;51105;1233;;128;Europe/Paris;2020-06-10;France;49.26375,4.10216
3027950;Cenon;Cenon;Cenon,Senon,se nong,seunong,snwn,sunon,Сенон,سنون,スノン,瑟农,스농;P;PPL;FR;France;;75;33;332;33119;22393;;4;Europe/Paris;2020-01-08;France;44.85614,-0.53355
3027965;Cénac;Cenac;Cenac,Cenac-et-Saint-Julien,Cénac,Cénac-et-Saint-Julien,Senac e Sent Julian,Senak et Sen Zhilijen,Senak-e-Sen-Zhul'en,sai na ke he sheng rui li an,Сенак ет Сен Жилијен,Сенак-е-Сен-Жульен,Сенак-е-Сен-Жульєн,塞纳克和圣瑞利安;P;PPL;FR;France;;75;24;244;24091;1133;;81;Europe/Paris;2019-11-06;France;44.79982,1.20431
3027999;Celle-Lévescault;Celle-Levescault;Celle,Celle-Levescault,Celle-Lévescault,Celle-lEvescault,Celle-lÉvescault,Sel Levko,Sel'-Levesko,sai lei lai fu si ke er,Сел Левко,Сель-Левеско,塞勒莱弗斯科尔;P;PPL;FR;France;;75;86;863;86045;1139;;125;Europe/Paris;2020-06-10;France;46.42358,0.18733
3028045;Cazilhac;Cazilhac;Cazilhac;P;PPL;FR;France;;76;11;111;11088;1545;;134;Europe/Paris;2020-05-07;France;43.18365,2.36241
3028493;Cartignies;Cartignies;Cartignies;P;PPL;FR;France;;32;59;591;59134;1170;;149;Europe/Paris;2016-02-18;France;50.0929,3.84473
3028722;Capendu;Capendu;Campendut,Camppendut,Capendu,Kapandi,Kapandju,ka pang di,Капанди,Капандю,卡庞迪;P;PPL;FR;France;;76;11;111;11068;1525;;76;Europe/Paris;2020-05-07;France;43.18704,2.55618
3028806;Cannes-Écluse;Cannes-Ecluse;Cannes-Ecluse,Cannes-Écluse,Kan Ekliz,Kann-Ekljuz,Кан Еклиз,Канн-Еклюз;P;PPL;FR;France;;11;77;773;77061;2842;;60;Europe/Paris;2016-02-18;France;48.36303,2.98748
3029046;Camblain-Châtelain;Camblain-Chatelain;Camblain-Chatelain,Camblain-Châtelain;P;PPL;FR;France;;32;62;622;62197;1614;;64;Europe/Paris;2016-02-18;France;50.48355,2.45521
3029580;Bulgnéville;Bulgneville;Bjul'n'evil',Bulgneville,Bulgnéville,Bulnevil,bi er ge wei er,Булњевил,Бюльньевиль,Бюльньєвіль,比尔格维尔;P;PPL;FR;France;;44;88;882;88079;1433;;351;Europe/Paris;2016-02-21;France;48.20694,5.8343
3029790;Bruille-Saint-Amand;Bruille-Saint-Amand;Bruille,Bruille-Saint-Amand;P;PPL;FR;France;;32;59;596;59114;1499;;26;Europe/Paris;2016-02-18;France;50.46605,3.50013
3030101;Brie-Comte-Robert;Brie-Comte-Robert;Bri Kont Rober,Bri-Kont-Rober,Brie-Comte-Robert,Brie-Libre,Brie-la-Ville,Brie-sur-Hieres,Brie-sur-Hières,Бри Конт Робер,Бри-Конт-Робер,Брі-Конт-Робер;P;PPL;FR;France;;11;77;775;77053;15892;;81;Europe/Paris;2019-03-26;France;48.69247,2.6109
3030405;Bréhal;Brehal;Breal,Breal',Brehal,Brhal,Bréhal,bu lei a,Бреал,Бреаль,布雷阿;P;PPL;FR;France;;28;50;501;50076;2669;;52;Europe/Paris;2019-03-26;France;48.89915,-1.51225
3030603;Brains;Brains;Brains,Brenn;P;PPL;FR;France;;52;44;442;44024;2325;;23;Europe/Paris;2020-09-10;France;47.16915,-1.72283
3030663;Bouzy-la-Forêt;Bouzy-la-Foret;Bouzy,Bouzy-la-Foret,Bouzy-la-Forêt,Buzi la Fore,Buzi-la-Fore,bu qi la fu lei,Бузи ла Форе,Бузі-ла-Форе,布齐拉福雷;P;PPL;FR;France;;24;45;452;45049;1059;;123;Europe/Paris;2020-06-10;France;47.8512,2.37773
3030713;Bouxières-aux-Dames;Bouxieres-aux-Dames;Bouxieres,Bouxieres-aux-Dames,Bouxieres-sur-Mont,Bouxières,Bouxières-aux-Dames,Bouxières-sur-Mont,Buks'er-o-Dam,Buksjer o Dam,bu ke xi ai ao da mei,Буксьер-о-Дам,Буксьєр-о-Дам,Буксјер о Дам,布克西埃奥达梅;P;PPL;FR;France;;44;54;543;54090;4205;;246;Europe/Paris;2018-11-06;France;48.75441,6.16294
3030902;Bournezeau;Bournezeau;Bournezeau;P;PPL;FR;France;;52;85;852;85034;2755;;75;Europe/Paris;2020-10-14;France;46.6356,-1.17222
3031030;Bourg-Argental;Bourg-Argental;Borg-Argental,Bourg-Argental,Bur-Arzhantal',Burg Arzhantal,Bôrg-Argental,Lo Borg dArgentau,bu er a er rang ta,Бур-Аржанталь,Бург Аржантал,布尔阿尔让塔;P;PPL;FR;France;;84;42;423;42023;2835;;559;Europe/Paris;2019-06-05;France;45.29899,4.5683
